label,Throughput,errors,elapsed,Latency
13:59:37,"18,86792",0.0,53.0,1.0
13:59:38,"15,15152",0.0,66.0,2.0
13:59:40,"27,98982",0.0,21.636363636363637,0.9090909090909091
13:59:41,"5,09684",0.0,47.8,1.8
13:59:42,"14,49275",0.0,69.0,2.0
13:59:43,"14,49275",0.0,69.0,3.0
13:59:44,"33,33333",0.0,30.0,1.0
13:59:46,"27,77778",0.0,23.40909090909091,1.5
13:59:47,"5,05051",0.0,47.2,1.8
13:59:48,"21,27660",0.0,47.0,2.0
13:59:49,"14,49275",0.0,69.0,2.0
13:59:50,"14,08451",0.0,71.0,3.0
13:59:52,"27,91878",0.0,29.681818181818183,1.3636363636363635
13:59:53,"5,12295",0.0,45.6,1.6
13:59:54,"14,49275",0.0,69.0,1.0
13:59:55,"27,77778",0.0,36.0,1.0
13:59:56,"17,54386",0.0,57.0,2.0
13:59:58,"28,09706",0.0,20.227272727272727,0.6818181818181818
13:59:59,"4,99500",0.0,54.2,1.8
14:00:00,"27,02703",0.0,37.0,1.0
14:00:01,"13,51351",0.0,74.0,2.0
14:00:02,"37,03704",0.0,27.0,1.0
14:00:04,"27,91878",0.0,31.181818181818183,1.4545454545454546
14:00:05,"5,00000",0.0,48.0,1.6
14:00:06,"38,46154",0.0,26.0,1.0
14:00:07,"16,94915",0.0,59.0,2.0
14:00:08,"14,49275",0.0,69.0,2.0
14:00:10,"27,95426",0.0,22.0,0.9545454545454546
14:00:11,"5,21376",0.0,43.4,1.6
14:00:12,"19,23077",0.0,52.0,2.0
14:00:13,"12,98701",0.0,77.0,3.0
14:00:14,"34,48276",0.0,29.0,1.0
14:00:16,"28,16901",0.0,31.181818181818183,1.3181818181818181
14:00:17,"5,02008",0.0,48.6,1.6
14:00:18,"18,51852",0.0,54.0,2.0
14:00:19,"16,39344",0.0,61.0,2.0
14:00:20,"13,69863",0.0,73.0,2.0
14:00:22,"28,06122",0.0,26.454545454545453,1.2272727272727273
14:00:23,"5,17598",0.0,45.6,1.4
14:00:24,"18,51852",0.0,54.0,2.0
14:00:25,"28,57143",0.0,35.0,2.0
14:00:26,"17,24138",0.0,58.0,2.0
14:00:28,"28,06122",0.0,20.5,0.7727272727272727
14:00:29,"4,96524",0.0,50.4,1.8
14:00:30,"25,00000",0.0,40.0,2.0
